Subject_ID_7	Subject_ID_21	Subject_ID_22	Subject_ID_24	Subject_ID_26	Subject_ID_27	Subject_ID_28	Subject_ID_29	Subject_ID_30	Subject_ID_32	Subject_ID_33	Subject_ID_34	Subject_ID_35	Subject_ID_37	Subject_ID_38	Subject_ID_39	Subject_ID_42	Subject_ID_45	Subject_ID_46	Subject_ID_47	Subject_ID_48	Subject_ID_49	GENESYMBOL	CHR	COORDINATE
cg04648087	0.111008952442781	0.114143037314618	0.0993933065827902	0.103037954942794	0.0994048718534711	0.0931889070172566	0.0830727874035429	0.0760056079254455	0.0925296841251393	0.096606558294982	0.0806291456537722	0.0712643739911578	0.0946246829728693	0.0972068991602964	0.111894582162199	0.1156700179025	0.104035067330543	0.0955169201539743	0.0905569138982717	0.100437136904393	0.143517354548594	0.119853451154551	TSC1	9	135819397
cg07738800	0.0616974621751131	0.056989932007806	0.0640913027985924	0.0549763143579821	0.0605624708528341	0.053088414969943	0.0444991159241818	0.0646122362685023	0.0720468176359273	0.0628028611957326	0.0590416955113851	0.0561819655382014	0.0606003735613679	0.054810696281757	0.078810512595377	0.0681932679206899	0.0535744097431219	0.0595059187613441	0.0437944470291022	0.0796483341810164	0.0468984952251493	0.0471838353321191	TSC1	9	135819856
cg14061503	0.104814952695752	0.142612590072637	0.096021975589659	0.0701252102770048	0.0900609109342832	0.124374887534236	0.0706895895837733	0.0963911205194996	0.0818610867748011	0.0837101515553998	0.0935823564916028	0.0950993903250188	0.0763060354507789	0.0912993172011283	0.120923592302158	0.114891962737009	0.0969339508447163	0.102751002801626	0.123216772789484	0.143755515707069	0.123412412803789	0.107373448238858	TSC1	9	135820653
cg14211075	0.616264499288401	0.645372225163479	0.756249883443182	0.670083309602978	0.632323645915785	0.614719107079526	0.520142718020435	0.62301165226504	0.6183835781822	0.509084041678173	0.56734296724925	0.673314598194983	0.720944648985575	0.658055675565593	0.480669180356768	0.713026944958056	0.64613043027536	0.616735530760445	0.660626013924508	0.526633016331093	0.645609382049949	0.774894656932975	TSC1	9	135818481
cg14267811	0.178028965030025	0.100565058032987	0.152454071839868	0.149620834164837	0.137086733988103	0.131857737419599	0.0762669758198079	0.088362760834671	0.122723624915118	0.117840020186727	0.118330214852571	0.145461523699866	0.139865492919241	0.116337577189906	0.174240986717268	0.142097902097902	0.134857227400503	0.139931740614334	0.101883064047425	0.173729706936538	0.109828178694158	0.110635080645161	TSC1	9	135819425
cg14322570	0.846308526250044	0.853883038936709	0.833064977649694	0.868212566858746	0.865267010965857	0.817227813355365	0.827099617989199	0.881219729645271	0.605405762120865	0.861783704721571	0.82700329919686	0.846945388386605	0.864834370384962	0.861409389587637	0.872951384871596	0.867346923298103	0.84344607307851	0.875560311939337	0.870402287419599	0.79527647733722	0.872743074889897	0.853860062012893	TSC1	9	135769402
cg14350545	0.0983483963881669	0.0869889432820998	0.0682455286766789	0.0827297423273443	0.0760294987456752	0.0805445265630336	0.0649742845021855	0.0696703513628091	0.0741988846883723	0.0722374563816275	0.0688026609939676	0.0720184204213246	0.0876354758216393	0.0682787228236019	0.079218841489715	0.0849466661358239	0.0882459830670779	0.076475541185646	0.0935465635594721	0.0974336927345872	0.0792946279295783	0.0790266498040644	TSC1	9	135820463
cg14564332	0.875862146469591	0.70055109530455	0.846018727591397	0.747347182569684	0.765756908522793	0.714075253905073	0.750722956889127	0.752297794798521	0.684381623437843	0.619198440745431	0.660545910341372	0.839716697507489	0.850988761851728	0.811878953054871	0.633672291157276	0.788219978843598	0.727504806221858	0.749130488274824	0.791497131853306	0.642016556019215	0.780369777378852	0.757487134770033	TSC1	9	135776260
cg19350728	0.0560783436869989	0.0615514274669204	0.0706573578278123	0.049746606030306	0.0586107490634115	0.0614714263736568	0.0518931261972723	0.0587300276617803	0.060992741672097	0.0516121360648379	0.0524738756877292	0.056711576552358	0.0569104395090171	0.0574854898566487	0.0685286099905404	0.065747216144494	0.0619092984393741	0.0670492178713137	0.0677897707128562	0.0736125766977067	0.0669581619784799	0.0656113979585815	TSC1	9	135820526
cg19393006	0.58892680607477	0.616035806316693	0.612843608982572	0.565682542359991	0.615764036711273	0.579536152041867	0.574363585409231	0.729485180713885	0.595292894133499	0.543379542977873	0.546030370178851	0.597574208904727	0.633024537644649	0.609837946697684	0.542709044679625	0.626733069554766	0.566897478848269	0.621289102198972	0.570498144032482	0.651906785741518	0.555640491699951	0.478036884138365	TSC1	9	135820767

